brand,model,category,color,size_scale,size,sku,barcode,price,cost,qty,tags,description,notes
Nike,Air Max 90,Sneakers,Black,EU,42,NIK-AM90-BLK-42,2001234567890,1500000,900000,2,"cushion,men","Max Air cushioning","Initial legacy stock"
Nike,Air Max 90,Sneakers,Black,EU,43,NIK-AM90-BLK-43,2001234567891,1500000,900000,1,"cushion,men","Max Air cushioning","Initial legacy stock"
Compass,Proto 1,Sneakers,White/Red,EU,41,COMP-P1-WR-41,8991234567001,780000,450000,3,"local,men","Made in Bandung","Legacy stock audit"
Compass,Proto 1,Sneakers,White/Red,EU,42,COMP-P1-WR-42,8991234567002,780000,450000,2,"local,men","Made in Bandung","Legacy stock audit"
Yongki Komaladi,Ballerina Flats,Formal,Fawn,EU,38,YK-BLF-FAWN-38,8999876500012,420000,220000,4,"women,formal","Comfort foam footbed","New arrival"
Yongki Komaladi,Ballerina Flats,Formal,Fawn,EU,39,YK-BLF-FAWN-39,8999876500013,420000,220000,5,"women,formal","Comfort foam footbed","New arrival"
Ardiles,Neo Run Kids,Kids,Blue/Lime,EU,33,ARD-NR-KIDS-33,8990011223344,320000,160000,6,"kids,sport","Lightweight mesh","Legacy stock"
Ardiles,Neo Run Kids,Kids,Blue/Lime,EU,34,ARD-NR-KIDS-34,8990011223345,320000,160000,5,"kids,sport","Lightweight mesh","Legacy stock"
Homyped,Daily Comfort,Sandal,Brown,EU,40,HMP-DC-SND-40,8999988877765,260000,140000,3,"sandal,men","Anti-slip sole","New arrival"
Homyped,Daily Comfort,Sandal,Brown,EU,41,HMP-DC-SND-41,8999988877766,260000,140000,3,"sandal,men","Anti-slip sole","New arrival"
Ventela,Public Low,Unisex Canvas,Maroon,US,8,VEN-PL-MRN-US8,8881122233344,380000,210000,2,"unisex,canvas","Vulcanized rubber sole","Legacy stock"
Ventela,Public Low,Unisex Canvas,Maroon,US,9,VEN-PL-MRN-US9,8881122233345,380000,210000,2,"unisex,canvas","Vulcanized rubber sole","Legacy stock"
Specs,Accelerator Lightning,Football,Solar Orange,UK,7,SPE-AC-LGT-UK7,8995556667771,690000,410000,4,"football,men","TPU outsole","New arrival"
Specs,Accelerator Lightning,Football,Solar Orange,UK,8,SPE-AC-LGT-UK8,8995556667772,690000,410000,3,"football,men","TPU outsole","New arrival"
Mizuno,Wave Rider 26,Running,Blue/White,US,10,MIZ-WR26-BLW-10,4934567890123,2100000,1250000,2,"running,men","Energy Foam midsole","New arrival"
Mizuno,Wave Rider 26,Running,Blue/White,US,11,MIZ-WR26-BLW-11,4934567890124,2100000,1250000,1,"running,men","Energy Foam midsole","New arrival"
Reebok,Nano X3,Training,Black/Green,CM,27.0,RBK-NNX3-BG-270,1951230987654,1850000,1100000,2,"training,unisex","Lift and Run chassis","New arrival"
Reebok,Nano X3,Training,Black/Green,CM,27.5,RBK-NNX3-BG-275,1951230987655,1850000,1100000,2,"training,unisex","Lift and Run chassis","New arrival"
Buccheri,Oxford Prime,Formal,Black,EU,42,BUC-OXP-BLK-42,8994433221100,950000,620000,1,"formal,men","Genuine leather upper","Legacy stock"
Buccheri,Oxford Prime,Formal,Black,EU,43,BUC-OXP-BLK-43,8994433221101,950000,620000,1,"formal,men","Genuine leather upper","Legacy stock"
